ticker,group
VEDL,Vedanta
VAML,Vedanta
VOGL,Vedanta
VISL,Vedanta
VEDPOWER,Vedanta
HINDZINC,Vedanta
TATASTEEL,Tata
TATAMOTORS,Tata
TMPV,Tata
TCS,Tata
INDHOTEL,Tata
ITCHOTELS,ITC
ITC,ITC
TATAPOWER,Tata
TATACHEM,Tata
TATACONSUM,Tata
TATACOMM,Tata
TATAELXSI,Tata
TATACAP,Tata
TRENT,Tata
BAJAJ-AUTO,Bajaj
BAJFINANCE,Bajaj
BAJAJFINSV,Bajaj
BAJAJHFL,Bajaj
BAJAJHLDNG,Bajaj
ADANIENT,Adani
ADANIPORTS,Adani
ADANIPOWER,Adani
ADANIGREEN,Adani
ADANIENSOL,Adani
AMBUJACEM,Adani
ACC,Adani
LT,L&T
LTF,L&T
LTIM,L&T
MAZDOCK,PSU Defence
HAL,PSU Defence
BEL,PSU Defence
BHEL,PSU Capital Goods
SBIN,SBI
SBILIFE,SBI
RELIANCE,Reliance
JIOFIN,Reliance
MOTHERSON,Motherson
KIRLPNU,Kirloskar
