ticker,name,yahoo_symbol,qty,buy_price,buy_date,seed_price,sector,target_price,stop_loss,notes
APOLLOHOSP,Apollo Hospitals,APOLLOHOSP.NS,37,8644.64,2026-05-19,8805.50,Healthcare,,,
BAJAJ-AUTO,Bajaj Auto,BAJAJ-AUTO.NS,71,10022.45,2025-10-10,11130.00,Auto,,,
BAJAJFINSV,Bajaj Finserv,BAJAJFINSV.NS,50,1769.13,2026-05-19,1876.70,Financial Services,,,
BEL,Bharat Electronics,BEL.NS,700,440.42,2026-02-10,405.00,Defence,,,
BHEL,BHEL,BHEL.NS,1,404.71,2026-05-20,417.30,Capital Goods,,,
BPCL,Bharat Petroleum,BPCL.NS,900,336.62,2026-03-02,310.15,Oil & Gas,,,
DRREDDY,Dr Reddys Laboratories,DRREDDY.NS,25,1335.71,2026-05-19,1151.70,Pharma,,,
EICHERMOT,Eicher Motors,EICHERMOT.NS,199,7219.45,2026-02-26,7628.00,Auto,,,
FEDERALBNK,Federal Bank,FEDERALBNK.NS,1550,27.96,2023-12-31,354.30,Banking,,,vintage - held since <=2023 (date is upper bound)
GOLD1G,Gold ETF,GOLD1G.NS,366,55.62,2023-12-31,0.00,Commodity ETF,,,vintage - held since <=2023 (date is upper bound)
GOLDBEES,Nippon India Gold ETF,GOLDBEES.NS,1850,138.46,2026-01-30,117.91,Commodity ETF,,,
HEROMOTOCO,Hero MotoCorp,HEROMOTOCO.NS,90,4996.28,2026-05-19,5011.10,Auto,,,
HINDALCO,Hindalco Industries,HINDALCO.NS,50,1082.02,2026-05-20,942.80,Metals,,,
HINDCOPPER,Hindustan Copper,HINDCOPPER.NS,100,577.61,2026-03-02,483.15,Metals,,,
INDHOTEL,Indian Hotels,INDHOTEL.NS,500,147.15,2023-12-31,727.45,Hospitality,,,vintage lot (balancing cost from broker avg)
INDHOTEL,Indian Hotels,INDHOTEL.NS,200,701.80,2026-02-10,727.45,Hospitality,,,exact trade
ITCHOTELS,ITC Hotels,ITCHOTELS.NS,1100,177.68,2026-02-10,159.92,Hospitality,,,
JIOFIN,Jio Financial Services,JIOFIN.NS,124,20.68,2023-12-31,234.71,Financial Services,,,vintage - held since <=2023 (date is upper bound)
KALYANKJIL,Kalyan Jewellers,KALYANKJIL.NS,1,397.88,2026-03-06,573.55,Consumer,,,
KIRLPNU,Kirloskar Pneumatic,KIRLPNU.NS,1,1594.42,2026-05-20,1497.10,Capital Goods,,,
KITEX,Kitex Garments,KITEX.NS,2100,0.00,2025-01-17,147.04,Textiles,,,"bonus shares 17-Jan-2025, zero cost"
KWIL,KWIL,KWIL.NS,40,43.98,2023-12-31,32.00,Capital Goods,,,vintage - held since <=2023 (date is upper bound)
LT,Larsen and Toubro,LT.NS,1,3978.73,2023-12-31,3785.60,Capital Goods,,,vintage - held since <=2023 (date is upper bound)
LTF,L&T Finance,LTF.NS,1975,209.62,2023-12-31,302.40,Financial Services,,,vintage - held since <=2023 (date is upper bound)
M&M,Mahindra and Mahindra,M&M.NS,117,3417.35,2025-03-25,3161.40,Auto,,,
MAHSEAMLES,Maharashtra Seamless,MAHSEAMLES.NS,600,156.19,2023-12-31,571.55,Metals,,,vintage - held since <=2023 (date is upper bound)
OFSS,Oracle Financial Services,OFSS.NS,57,10541.16,2025-12-12,10652.00,IT,,,
POWERGRID,Power Grid Corporation,POWERGRID.NS,50,298.99,2026-05-19,288.20,Utilities,,,
SBILIFE,SBI Life Insurance,SBILIFE.NS,1,1884.31,2026-05-20,1858.60,Insurance,,,
SBIN,State Bank of India,SBIN.NS,1,1086.49,2026-04-17,1015.00,Banking,,,
SHRIRAMFIN,Shriram Finance,SHRIRAMFIN.NS,1,923.95,2026-05-20,1005.10,Financial Services,,,
SILVERBEES,Nippon India Silver ETF,SILVERBEES.NS,2540,268.11,2026-01-13,210.96,Commodity ETF,,,
SOUTHBANK,South Indian Bank,SOUTHBANK.NS,562,41.38,2025-12-12,46.52,Banking,,,
SUZLON,Suzlon Energy,SUZLON.NS,200,52.72,2026-05-20,52.28,Renewables,,,
TATASTEEL,Tata Steel,TATASTEEL.NS,4000,79.02,2023-12-31,182.67,Metals,,,vintage - held since <=2023 (date is upper bound)
TCS,Tata Consultancy Services,TCS.NS,1,2290.75,2026-06-29,2254.30,IT,,,
TECHM,Tech Mahindra,TECHM.NS,1,1491.16,2023-12-31,1559.50,IT,,,vintage - held since <=2023 (date is upper bound)
UNITDSPR,United Spirits,UNITDSPR.NS,150,1353.30,2026-02-10,1467.20,Consumer,,,
VAML,Vedanta Aluminium (demerger),VAML.NS,720,37.96,2023-12-31,435.60,Metals,,,vintage lot (held since <=2023; demerger-apportioned cost)
VAML,Vedanta Aluminium (demerger),VAML.NS,500,37.96,2026-04-17,435.60,Metals,,,from 17-Apr-26 VEDL purchase (demerger-inherited)
VEDL,Vedanta,VEDL.NS,720,277.86,2023-12-31,264.65,Metals,,,vintage lot (held since <=2023; demerger-apportioned cost)
VEDL,Vedanta,VEDL.NS,500,277.86,2026-04-17,264.65,Metals,,,from 17-Apr-26 VEDL purchase (demerger-inherited)
VEDPOWER,Vedanta Power (demerger),VEDPOWER.NS,720,64.93,2023-12-31,35.01,Utilities,,,vintage lot (held since <=2023; demerger-apportioned cost)
VEDPOWER,Vedanta Power (demerger),VEDPOWER.NS,500,64.93,2026-04-17,35.01,Utilities,,,from 17-Apr-26 VEDL purchase (demerger-inherited)
VISL,Vedanta Iron & Steel (demerger),VISL.NS,720,36.05,2023-12-31,30.35,Metals,,,vintage lot (held since <=2023; demerger-apportioned cost)
VISL,Vedanta Iron & Steel (demerger),VISL.NS,500,36.05,2026-04-17,30.35,Metals,,,from 17-Apr-26 VEDL purchase (demerger-inherited)
VOGL,Vedanta Oil & Gas (demerger),VOGL.NS,720,114.08,2023-12-31,34.23,Oil & Gas,,,vintage lot (held since <=2023; demerger-apportioned cost)
VOGL,Vedanta Oil & Gas (demerger),VOGL.NS,500,114.08,2026-04-17,34.23,Oil & Gas,,,from 17-Apr-26 VEDL purchase (demerger-inherited)
WIPRO,Wipro,WIPRO.NS,1,175.01,2026-07-02,177.12,IT,,,
TMPV,Tata Motors PV,TMPV.NS,250,411.75,2026-07-28,411.75,Auto,,,bought post-snapshot Jul 2026
TITAN,Titan Company,TITAN.NS,50,4855.00,2026-07-31,4855.00,Consumer,,,bought post-snapshot Jul 2026
