ticker,name,qty,buy_price,buy_date,sell_price,sell_date
PATELENG,Patel Engineering,230,360.0,2009-06-02,37.79,2025-09-26
KITEX,Kitex Garments,1000,160.6,2021-08-17,208.93,2025-10-23
KITEX,Kitex Garments,495,202.58,2024-06-07,208.89,2025-10-23
KITEX,Kitex Garments,795,213.72,2024-06-12,212.95,2025-10-30
KITEX,Kitex Garments,505,202.61,2024-06-07,212.95,2025-10-30
VGUARD,V-Guard Industries,1000,401.82,2024-06-12,337.51,2025-12-10
GOLDBEES,Nippon India Gold ETF,500,99.52,2025-10-30,107.98,2025-12-12
AXISBANK,Axis Bank,30,1288.25,2024-07-22,1223.93,2025-12-24
HCLTECH,HCL Technologies,30,1585.42,2024-07-22,1666.28,2025-12-24
ITC,ITC,100,413.25,2025-03-25,405.06,2025-12-24
CCL,CCL Products,100,977.45,2025-12-10,923.89,2026-01-08
APOLLOMICRO,Apollo Micro Systems,100,282.9,2025-10-30,243.65,2026-01-09
HINDUNILVR,Hindustan Unilever,40,2258.62,2025-03-25,2352.5,2026-01-09
JINDALSTEL,Jindal Steel & Power,500,605.68,2009-09-15,1010.81,2026-01-09
INFY,Infosys,100,1630.17,2025-03-25,1586.82,2026-01-12
WIPRO,Wipro,1500,0.0,2024-12-03,243.5,2026-01-19
WIPRO,Wipro,1000,480.47,2024-06-11,243.5,2026-01-19
WIPRO,Wipro,500,494.1,2024-08-13,243.5,2026-01-19
HINDALCO,Hindalco Industries,80,866.09,2025-10-30,963.02,2026-01-30
IRFC,IRFC,150,113.39,2025-12-12,119.5,2026-01-30
RELIANCE,Reliance Industries,248,0.0,2024-10-28,1380.56,2026-01-30
RELIANCE,Reliance Industries,2,1308.4,2025-03-25,1380.57,2026-01-30
TATAMOTORS,Tata Motors,10,434.75,2026-01-09,467.41,2026-01-30
TATAMOTORS,Tata Motors,340,421.93,2026-01-12,467.42,2026-01-30
TORNTPOWER,Torrent Power,80,1318.71,2025-10-30,1357.79,2026-01-30
KITEX,Kitex Garments,170,213.87,2024-06-12,195.4,2026-02-03
KITEX,Kitex Garments,830,0.0,2025-01-17,195.4,2026-02-03
ADANIPORTS,Adani Ports,40,1449.43,2025-11-03,1551.02,2026-02-05
KITEX,Kitex Garments,1000,0.0,2025-01-17,208.65,2026-02-05
NESTLEIND,Nestle India,44,2285.55,2025-03-25,1275.49,2026-02-17
NESTLEIND,Nestle India,44,0.0,2025-08-08,1275.45,2026-02-17
ICICIBANK,ICICI Bank,90,1338.79,2024-09-26,1393.29,2026-02-26
ICICIBANK,ICICI Bank,10,1388.14,2025-10-10,1393.3,2026-02-26
ASIANPAINT,Asian Paints,37,3263.35,2024-09-26,2287.35,2026-03-02
BAJAJ-AUTO,Bajaj Auto,13,8925.68,2025-10-10,9672.01,2026-03-02
BAJAJ-AUTO,Bajaj Auto,36,8130.98,2025-03-25,9672.01,2026-03-02
COFORGE,Coforge,25,1855.39,2025-12-12,1149.54,2026-03-02
KITEX,Kitex Garments,2000,0.0,2025-01-17,170.33,2026-03-02
LTF,L&T Finance,1000,75.0,2013-12-27,278.71,2026-03-02
LTF,L&T Finance,255,192.15,2017-09-27,278.71,2026-03-02
LTF,L&T Finance,245,70.1,2013-12-17,278.71,2026-03-02
TATASTEEL,Tata Steel,500,32.35,2013-03-25,208.59,2026-03-02
TCS,Tata Consultancy Services,114,3054.41,2025-10-10,2581.95,2026-03-02
TCS,Tata Consultancy Services,28,4319.18,2024-09-26,2582.51,2026-03-02
TECHM,Tech Mahindra,50,1752.42,2026-01-30,1331.54,2026-03-02
TECHM,Tech Mahindra,50,1441.69,2025-10-30,1331.93,2026-03-02
TECHM,Tech Mahindra,90,1689.24,2026-01-20,1331.69,2026-03-02
TECHM,Tech Mahindra,60,1588.49,2026-01-09,1331.75,2026-03-02
TECHM,Tech Mahindra,50,1614.73,2026-01-01,1331.58,2026-03-02
TECHM,Tech Mahindra,150,1726.99,2026-01-19,1332.14,2026-03-02
RAMCOCEM,The Ramco Cement,250,798.47,2024-06-07,1081.83,2026-03-02
BAJFINANCE,Bajaj Finance,200,0.0,2025-06-16,862.18,2026-03-13
BAJFINANCE,Bajaj Finance,100,964.12,2026-01-09,862.18,2026-03-13
BAJFINANCE,Bajaj Finance,20,3463.22,2024-07-22,862.18,2026-03-13
BAJFINANCE,Bajaj Finance,30,3717.76,2024-09-16,862.18,2026-03-13
LT,Larsen and Toubro,37,1439.0,2018-01-31,3553.65,2026-03-13
LT,Larsen and Toubro,63,1209.1,2017-11-02,3553.65,2026-03-13
SUNPHARMA,Sun Pharma,50,1712.77,2025-10-30,1810.09,2026-03-13
UBL,United Breweries,50,1563.05,2026-02-10,1620.14,2026-03-13
