ticker,name,yahoo_symbol,sector,index
ABB,ABB India,ABB.NS,Capital Goods,NIFTYNEXT50
ACC,ACC,ACC.NS,Cement,NIFTYNEXT50
ADANIENT,Adani Enterprises,ADANIENT.NS,Conglomerate,NIFTY50
ADANIGREEN,Adani Green Energy,ADANIGREEN.NS,Power,NIFTYNEXT50
ADANIPORTS,Adani Ports & SEZ,ADANIPORTS.NS,Infrastructure,NIFTY50
ADANIPOWER,Adani Power,ADANIPOWER.NS,Power,NIFTYNEXT50
AMBUJACEM,Ambuja Cements,AMBUJACEM.NS,Cement,NIFTYNEXT50
APOLLOHOSP,Apollo Hospitals,APOLLOHOSP.NS,Healthcare,NIFTY50
APOLLOTYRE,Apollo Tyres,APOLLOTYRE.NS,Auto Ancillary,NIFTYNEXT50
ASHOKLEY,Ashok Leyland,ASHOKLEY.NS,Auto,NIFTYNEXT50
ASIANPAINT,Asian Paints,ASIANPAINT.NS,Consumer,NIFTY50
AUROPHARMA,Aurobindo Pharma,AUROPHARMA.NS,Pharma,NIFTYNEXT50
AXISBANK,Axis Bank,AXISBANK.NS,Banking,NIFTY50
BAJAJ-AUTO,Bajaj Auto,BAJAJ-AUTO.NS,Auto,NIFTY50
BAJAJFINSV,Bajaj Finserv,BAJAJFINSV.NS,Financial Services,NIFTY50
BAJAJHLDNG,Bajaj Holdings,BAJAJHLDNG.NS,Financial Services,NIFTYNEXT50
BAJFINANCE,Bajaj Finance,BAJFINANCE.NS,Financial Services,NIFTY50
BALKRISIND,Balkrishna Industries,BALKRISIND.NS,Auto Ancillary,NIFTYNEXT50
BANKBARODA,Bank of Baroda,BANKBARODA.NS,Banking,NIFTYNEXT50
BEL,Bharat Electronics,BEL.NS,Defence,NIFTY50
BERGEPAINT,Berger Paints India,BERGEPAINT.NS,Consumer,NIFTYNEXT50
BHARTIARTL,Bharti Airtel,BHARTIARTL.NS,Telecom,NIFTY50
BHEL,BHEL,BHEL.NS,Capital Goods,NIFTYNEXT50
BOSCHLTD,Bosch,BOSCHLTD.NS,Auto Ancillary,NIFTYNEXT50
BPCL,Bharat Petroleum,BPCL.NS,Oil & Gas,NIFTY50
BRITANNIA,Britannia Industries,BRITANNIA.NS,Consumer,NIFTY50
CANBK,Canara Bank,CANBK.NS,Banking,NIFTYNEXT50
CGPOWER,CG Power & Industrial,CGPOWER.NS,Capital Goods,NIFTYNEXT50
CHOLAFIN,Cholamandalam Investment,CHOLAFIN.NS,Financial Services,NIFTYNEXT50
CIPLA,Cipla,CIPLA.NS,Pharma,NIFTY50
COALINDIA,Coal India,COALINDIA.NS,Mining,NIFTY50
COFORGE,Coforge,COFORGE.NS,IT,NIFTYNEXT50
COLPAL,Colgate-Palmolive India,COLPAL.NS,Consumer,NIFTYNEXT50
CUMMINSIND,Cummins India,CUMMINSIND.NS,Capital Goods,NIFTYNEXT50
DABUR,Dabur India,DABUR.NS,Consumer,NIFTYNEXT50
DALBHARAT,Dalmia Bharat,DALBHARAT.NS,Cement,NIFTYNEXT50
DEEPAKNTR,Deepak Nitrite,DEEPAKNTR.NS,Chemicals,NIFTYNEXT50
DIVISLAB,Divi's Laboratories,DIVISLAB.NS,Pharma,NIFTYNEXT50
DLF,DLF,DLF.NS,Real Estate,NIFTYNEXT50
DMART,Avenue Supermarts,DMART.NS,Retail,NIFTYNEXT50
DRREDDY,Dr Reddy's Laboratories,DRREDDY.NS,Pharma,NIFTY50
EICHERMOT,Eicher Motors,EICHERMOT.NS,Auto,NIFTY50
ESCORTS,Escorts Kubota,ESCORTS.NS,Auto,NIFTYNEXT50
ETERNAL,Eternal (Zomato),ETERNAL.NS,Consumer Tech,NIFTY50
FEDERALBNK,Federal Bank,FEDERALBNK.NS,Banking,NIFTYNEXT50
GAIL,GAIL India,GAIL.NS,Oil & Gas,NIFTYNEXT50
GODREJCP,Godrej Consumer Products,GODREJCP.NS,Consumer,NIFTYNEXT50
GOLDBEES,Nippon India Gold ETF,GOLDBEES.NS,ETF,NIFTYNEXT50
GRASIM,Grasim Industries,GRASIM.NS,Cement,NIFTY50
HAL,Hindustan Aeronautics,HAL.NS,Defence,NIFTYNEXT50
HAVELLS,Havells India,HAVELLS.NS,Capital Goods,NIFTYNEXT50
HCLTECH,HCL Technologies,HCLTECH.NS,IT,NIFTY50
HDFCBANK,HDFC Bank,HDFCBANK.NS,Banking,NIFTY50
HDFCLIFE,HDFC Life Insurance,HDFCLIFE.NS,Insurance,NIFTY50
HEROMOTOCO,Hero MotoCorp,HEROMOTOCO.NS,Auto,NIFTY50
HINDALCO,Hindalco Industries,HINDALCO.NS,Metals,NIFTY50
HINDCOPPER,Hindustan Copper,HINDCOPPER.NS,Metals,NIFTYNEXT50
HINDUNILVR,Hindustan Unilever,HINDUNILVR.NS,Consumer,NIFTY50
HINDZINC,Hindustan Zinc,HINDZINC.NS,Metals,NIFTYNEXT50
HYUNDAI,Hyundai Motor India,HYUNDAI.NS,Auto,NIFTYNEXT50
ICICIBANK,ICICI Bank,ICICIBANK.NS,Banking,NIFTY50
ICICIGI,ICICI Lombard General Ins,ICICIGI.NS,Insurance,NIFTYNEXT50
ICICIPRULI,ICICI Prudential Life,ICICIPRULI.NS,Insurance,NIFTYNEXT50
IDFCFIRSTB,IDFC First Bank,IDFCFIRSTB.NS,Banking,NIFTYNEXT50
INDHOTEL,Indian Hotels,INDHOTEL.NS,Hospitality,NIFTYNEXT50
INDIANB,Indian Bank,INDIANB.NS,Banking,NIFTYNEXT50
INDIGO,InterGlobe Aviation,INDIGO.NS,Aviation,NIFTYNEXT50
INDUSINDBK,IndusInd Bank,INDUSINDBK.NS,Banking,NIFTY50
INFY,Infosys,INFY.NS,IT,NIFTY50
IOC,Indian Oil Corporation,IOC.NS,Oil & Gas,NIFTYNEXT50
IRCTC,IRCTC,IRCTC.NS,Travel,NIFTYNEXT50
IREDA,IREDA,IREDA.NS,Financial Services,NIFTYNEXT50
IRFC,Indian Railway Finance,IRFC.NS,Financial Services,NIFTYNEXT50
ITC,ITC,ITC.NS,Consumer,NIFTY50
ITCHOTELS,ITC Hotels,ITCHOTELS.NS,Hospitality,NIFTYNEXT50
JINDALSTEL,Jindal Steel & Power,JINDALSTEL.NS,Metals,NIFTYNEXT50
JIOFIN,Jio Financial Services,JIOFIN.NS,Financial Services,NIFTY50
JSWENERGY,JSW Energy,JSWENERGY.NS,Power,NIFTYNEXT50
JSWSTEEL,JSW Steel,JSWSTEEL.NS,Metals,NIFTY50
KALYANKJIL,Kalyan Jewellers,KALYANKJIL.NS,Consumer,NIFTYNEXT50
KEI,KEI Industries,KEI.NS,Capital Goods,NIFTYNEXT50
KIRLPNU,Kirloskar Pneumatic,KIRLPNU.NS,Capital Goods,NIFTYNEXT50
KITEX,Kitex Garments,KITEX.NS,Textiles,NIFTYNEXT50
KOTAKBANK,Kotak Mahindra Bank,KOTAKBANK.NS,Banking,NIFTY50
KWIL,Kwality Wall's India,KWIL.NS,Consumer,NIFTYNEXT50
LICI,Life Insurance Corporation,LICI.NS,Insurance,NIFTYNEXT50
LODHA,Macrotech Developers,LODHA.NS,Real Estate,NIFTYNEXT50
LT,Larsen & Toubro,LT.NS,Infrastructure,NIFTY50
LTF,L&T Finance,LTF.NS,Financial Services,NIFTYNEXT50
LTIM,LTIMindtree,LTIM.NS,IT,NIFTY50
